name,asin,keyword,price,stars,rating_count,url
Corsair Force Series Gen.4 MP600 1TB NVMe PCIe M.2 SSD Noir,B09M8PRGPT,SSD,107,"4,7 sur 5 étoiles",66 évaluations,https://www.amazon.fr/Corsair-Force-Gen-4-MP600-NVMe/dp/B09M8PRGPT/ref=sr_1_144
"Seagate IronWolf Pro, 14 to, Disque Dur d'entreprise Interne NAS HDD – CMR, 3,5”, SATA 6 Gbits/s, 7 200 TR/Min, 256 Mo de mémoire Cache, Rescue Services (ST14000NT001)",B0B94P481H,HDD,434,"5,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/Seagate-IronWolf-Disque-dentreprise-Interne/dp/B0B94P481H/ref=sr_1_144
"Aootek Disque Dur Externe 1To - 2,5po USB 3.0 ultrafin Design métallique HDD Portable pour Mac, PC, Ordinateur Portable (Noir)",B0BJP7S5CW,HDD,36,"3,2 sur 5 étoiles",72 évaluations,https://www.amazon.fr/Aootek-Disque-Dur-Externe-1To/dp/B0BJP7S5CW/ref=sr_1_143
"MIKLOO Disque dur externe 4 To, disque dur, USB 3.1 ultra mince type C avec USB-A, facile à transporter, pour PC, Mac, ordinateur portable, ancre (Argenté-4TB)",B0BPPML4ZJ,HDD,29,"2,1 sur 5 étoiles",16 évaluations,https://www.amazon.fr/MIKLOO-transporter-ordinateur-portable-Argent%C3%A9-4TB/dp/B0BPPML4ZJ/ref=sr_1_142
"Seagate Skyhawk AI Disque Dur de Surveillance Interne HDD 8 to 3,5"" SATA 6 GB/s 256 Mo Cache système de caméra de sécurité DVR/NVR avec Service de Sauvetage de 3 Ans",B08KTM4SNY,HDD,,"4,8 sur 5 étoiles",45 évaluations,https://www.amazon.fr/Seagate-Skyhawk-vid%C3%A9osurveillance-s%C3%A9curit%C3%A9-Sauvegarde/dp/B08KTM4SNY/ref=sr_1_141
"LaCie 2big Dock RAID, 36 To, disque dur externe HDD - ports Thunderbolt 4 compatibles USB 4, récupération des données (STLG36000400)",B09BD66Y2K,HDD,€,,,https://www.amazon.fr/LaCie-2big-Dock-Disque-Externe/dp/B09BD66Y2K/ref=sr_1_140_mod_primary_new
"LaCie 1big Dock HDD, 16 To, Station d'accueil disque dur externe, Thunderbolt 3, 7 200 tr/min, Mac et PC, services Rescue valables 5 ans (STHS16000800)",B082PJS2ZP,HDD,,"4,3 sur 5 étoiles",95 évaluations,https://www.amazon.fr/LaCie-daccueil-Thunderbolt-redondance-STHS16000800/dp/B082PJS2ZP/ref=sr_1_139_mod_primary_new
"Yagte Disque Dur Externe 1to,Disque Dur Externe Portable 2.5"" HDD USB3.0 Compatible avec PC, Laptop,Desktop,Chromebook,TV.B(1To,Bleu)",B0BRMZT2T8,HDD,39,,,https://www.amazon.fr/Yagte-Externe-Portable-Compatible-Chromebook/dp/B0BRMZT2T8/ref=sr_1_138
"Thomson Disque Dur Externe Portable 320GB Ultra-Mince 2.5"" USB 3.0, Stockage HDD pour PC, Mac, Wii U, Xbox, PS4",B0BSLQS485,HDD,22,,,https://www.amazon.fr/Thomson-Externe-Portable-Ultra-Mince-Stockage/dp/B0BSLQS485/ref=sr_1_137
"LEYMING Disque dur externe portable 4 To Disque dur externe USB 3.1 ultra mince design métallique HDD portable pour Mac, PC, ordinateur portable, Smart TV (rouge,4 tb)",B0BR7RV73Z,HDD,€,,,https://www.amazon.fr/LEYMING-externe-portable-m%C3%A9tallique-ordinateur/dp/B0BR7RV73Z/ref=sr_1_135
HPE MSA 10.8TB SAS 10K SFF 6PK HDD BDL,B07PS166PL,HDD,59,"1,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/MSA-Disque-Dur-SAS-SFF/dp/B07PS166PL/ref=sr_1_134
"Mommachi Disque Dur Externe, 2To - USB 3.1 Ultra-Mince 2.5"" Design métallique HDD Portable pour PC, Mac, Portable (Noir)",B0BJVKX7K6,HDD,50,"2,4 sur 5 étoiles",229 évaluations,https://www.amazon.fr/Mommachi-Disque-Dur-Externe-2To/dp/B0BJVKX7K6/ref=sr_1_133
