price;asin
107;B09M8PRGPT
434;B0B94P481H
36;B0BJP7S5CW
29;B0BPPML4ZJ
233;B08KTM4SNY
2145;B09BD66Y2K
717;B082PJS2ZP
39;B0BRMZT2T8
22;B0BSLQS485
39;B0BR7RV73Z
59;B07PS166PL
50;B0BJVKX7K6
1199;B0BL1DSLCV
101;B07CHL4NK8
51;B00C9TEBJQ
29;B0BQ3QQ9DS
47;B0BRT2S9MW
114;B088G1249B
159;B07GKHQ9M6
220;B07SW1BH6Q
262;B07FJJB382
34;B01NAUIA6G
87;B00D0243DU
330;B08R3Z2JL1
182;B0BLK7RNWB
143;B01M0SH124
790;B07YFGW736
99;B08XNJHGQ7
1457;B086X1M1CT
991;B09BD6W4BY
45;B0BP2MHZ42
60;B007NVGWV0
89;B07XDD6GD3
156;B0BGM5RZ85
186;B07T4411LF
253;B07J35YWQY
99;B08TV9TFPB
109;B0BLK8YLYT
101;B07RMKNHM6
52;B07997KKSK
28;B07G3KRZBX
1279;B0BFDKPWPR
7400;B09GRQGDQH
59;B07YFGQLYK
18;B09DCK767L
25;B01D3ACIR6
50;B08T1TWQS9
64;B0B5Q9YBM6
67;B0BJKVMDNP
24;B07CXC32T2
26;B09MG41W7Q
119;B08LSYLC65
36;B00D1E6RMW
42;B07P7FPBZ5
109;B07SGBJK7H
82;B074W7TDPR
28;B07WXHH8B3
36;B0764WCXCV
62;B0BPMG8ZPQ
71;B07JBQZ2MG
149;B078C515QL
41;B087CPLWKP
16;B07QYV2699
101;B0B6G51DJD
25;B0B2VN78JK
19;B091H1KB3Q
152;B0B9855VGS
16;B09WDHD5QD
110;B0BGXY2NZ4
57;B0BQG58F34
24;B09KY7PMCS
36;B09P5BTJTJ
58;B07WCM8CVG
59;B091BCQK7B
36;B07KG1283L
18;B07NTL9X7F
101;B07H289S79
52;B07997KKSK
138;B08VH891FS
87;B07LGNHNJ9
27;B07QHWGXYK
433;B089S33PR3
99;B08VH9NDV7
164;B07CN9QQ41
446;B0B94PNF7P
662;B0B94MF4LP
164;B079HCMBFT
66;B07957Q6RY
157;B07VP5WG78
154;B00HRNYWIO
50;B0BQ3R983P
42;B009AYVNMQ
86;B093Z5DD7C
46;B0BP2H8CDZ
18;B00CY9TQQY
38;B00E1C93L0
104;B09NKZWXDD
165;B073SBRHH6
98;B09T74CSCW
112;B086YXF658
63;B075WWN4QJ
59;B07JC1TQ7N
45;B0BQC3HNNZ
129;B08JDLVNZ5
250;B0BDXQ61Z9
51;B01IEKG3TY
298;B0B787PNL7
139;B07VNTFK87
278;B095R8NNRY
37;B0BQC9J4QN
48;B0BQ3PBRKV
164;B07H28M89D
552;B0B94MRX2H
34;B008BG62A2
69;B07994QL95
77;B0BNGMFMZB
29;B0BTCNXJDD
123;B075QJTBVT
40;B0BNTF1GB3
49;B009AYWCJE
234;B09QQX27GM
164;B07H28M89D
92;B0BGM58VQK
52;B07997KKSK
20;B07CS92BKQ
59;B07JC1TQ7N
67;B08L9TLPJV
209;B095R8NNRY
45;B008B0RQ1C
86;B00D0L5BH8
114;B08VH8C3WZ
77;B0BNGMFMZB
51;B01LYNQXCP
28;B005CT56R6
234;B09QQX27GM
56;B0BJQGBYRK
87;B07LGNHNJ9
107;B0B1JPYH2Z
