name,price,stars,rating_count,asin,url
SAMSUNG Electronics 870 EVO 2TB 2.5 Inch SATA III Internal SSD (MZ-77E2T0B/AM),$,4.8 out of 5 stars,"26,163 global ratings",B08QB93S6R,https://www.amazon.com/SAMSUNG-Inch-Internal-MZ-77E2T0B-AM/dp/B08QB93S6R/ref=sr_1_1
"fanxiang S500 Pro 2TB NVMe SSD M.2 PCIe Gen3x4 2280 Internal Solid State Drive, Graphene Cooling Sticker, SLC Cache 3D NAND TLC, Up to 3500MB/s, Compatible with Laptop and PC Desktops(Black)",$,4.5 out of 5 stars,671 global ratings,B0BCQS37R7,https://www.amazon.com/fanxiang-S500-Pro-Internal-Compatible/dp/B0BCQS37R7/ref=sr_1_48
"Seagate Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX5000400), Black",$,4.7 out of 5 stars,"237,275 global ratings",B07VS8QCXC,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07VS8QCXC/ref=sr_1_32
"SAMSUNG T7 Shield 4TB, Portable SSD, up-to 1050MB/s, USB 3.2 Gen2, Rugged, IP65 Water & Dust Resistant, for Photographers, Content Creators and Gaming, Extenal Solid State Drive (MU-PE4T0S/AM), Black",$,4.8 out of 5 stars,"3,199 global ratings",B0BHZQGN26,https://www.amazon.com/SAMSUNG-Resistant-Photographers-MU-PE4T0S-AM/dp/B0BHZQGN26/ref=sr_1_31
"SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 535 MB/s - SDSSDA-1T00-G26",$,4.7 out of 5 stars,"72,265 global ratings",B07D998212,https://www.amazon.com/SanDisk-SSD-PLUS-Internal-SDSSDA-1T00-G26/dp/B07D998212/ref=sr_1_30
"Ritek 120GB SSD (Internal Solid State Drive) 3D NAND 2.5"" SATA III 6Gb/s Ultra Slim 7mm Up to 550 MB/s Panther SE",$,4.5 out of 5 stars,64 global ratings,B08GYNBCXG,https://www.amazon.com/Ritek-120GB-Internal-Panther-SE/dp/B08GYNBCXG/ref=sr_1_29
"Timetec 1TB SSD 3D NAND TLC SATA III 6Gb/s 2.5 Inch 7mm (0.28"") 800TBW Read Speed Up to 550 MB/s SLC Cache Performance Boost Internal Solid State Drive for PC Computer Desktop and Laptop (1TB)",$,4.7 out of 5 stars,"2,222 global ratings",B08GJCS69D,https://www.amazon.com/Timetec-800TBW-Speed-Performance-Internal/dp/B08GJCS69D/ref=sr_1_28
"Silicon Power 128GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SU128GBSS3A55S25AH)",$,4.7 out of 5 stars,496 global ratings,B0963SGYGF,https://www.amazon.com/Silicon-Power-Performance-Internal-SU128GBSS3A55S25AH/dp/B0963SGYGF/ref=sr_1_27
"Crucial P3 500GB PCIe Gen3 3D NAND NVMe M.2 SSD, up to 3500MB/s - CT500P3SSD8",$,4.7 out of 5 stars,"3,090 global ratings",B0B25LQQPC,https://www.amazon.com/Crucial-500GB-PCIe-NAND-3500MB/dp/B0B25LQQPC/ref=sr_1_26
"SAMSUNG 870 QVO SATA III 2.5"" SSD 8TB (MZ-77Q8T0B)",$,4.8 out of 5 stars,"17,421 global ratings",B089C3TZL9,https://www.amazon.com/SAMSUNG-870-QVO-SATA-MZ-77Q8T0B/dp/B089C3TZL9/ref=sr_1_25
